# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.0246,35.178,0.189
0.0246,34.890,0.234
0.0246,35.052,0.231
0.0246,35.106,0.236
0.0246,34.807,0.182
0.0246,34.953,0.214
0.0247,34.811,0.318
0.0249,35.086,0.241
0.0249,35.197,0.228
0.0251,35.215,0.269
0.0251,34.837,0.288
0.0251,34.848,0.182
0.0251,35.009,0.177
0.0251,35.079,0.206
0.0251,35.028,0.190
0.0251,34.458,0.333
0.0252,34.912,0.306
0.0252,35.199,0.238
0.0252,35.228,0.204
0.0252,35.114,0.155
0.0252,35.114,0.175
0.0252,34.984,0.185
0.0253,34.906,0.269
0.0253,34.944,0.241
0.0253,35.188,0.177
0.0253,35.197,0.186
0.0256,35.183,0.234
0.0256,35.062,0.190
0.0259,34.766,0.345
0.0259,35.118,0.200
0.0260,35.401,0.200
0.0260,34.835,0.348
0.0260,35.108,0.198
0.0260,35.293,0.180
0.0260,35.311,0.179
0.0263,35.285,0.289
0.0263,35.343,0.323
0.0263,35.022,0.372
0.0267,35.308,0.180
0.0269,35.269,0.183
0.0269,35.289,0.206
0.0270,35.118,0.181
0.0271,35.251,0.187
0.0271,35.322,0.216
0.0273,35.289,0.299
0.0273,35.112,0.347
0.0273,35.227,0.262
0.0273,35.267,0.172
0.0273,35.344,0.231
0.0274,35.313,0.220
0.0274,35.304,0.353
0.0274,35.524,0.225
0.0275,35.112,0.170
0.0275,35.113,0.173
0.0275,35.154,0.187
0.0277,35.347,0.290
0.0280,35.726,0.322
0.0280,35.131,0.185
0.0281,35.674,0.216
0.0282,35.361,0.191
